transaction_id,user_id,merchant_id,amount,payment_method,device_type,is_new_device,previous_failed_txns,txn_count_10min,avg_user_transaction_amount,location_change,merchant_risk_score,account_age_days,hour_of_day,is_weekend,international_transaction,fraud
TXN0000021,USR01752,MER0194,5217.63,UPI,Android,0,1,3,2390.02,0,0.6291,92,22,0,0,0
TXN0000022,USR01298,MER0381,5331.75,UPI,Android,0,0,2,2257.6,0,0.3871,508,20,0,0,0
TXN0000023,USR00639,MER0486,3181.13,UPI,Android,0,1,1,2828.87,0,0.2808,209,12,1,0,0
TXN0000024,USR03244,MER0352,5405.71,UPI,Android,0,0,2,6785.99,0,0.2026,2008,18,0,0,0
TXN0000025,USR02736,MER0461,3113.16,UPI,iOS,0,0,2,2090.5,0,0.1965,572,12,0,0,0
TXN0000026,USR02254,MER0006,2284.32,Wallet,Android,0,1,3,2795.6,0,0.1457,577,18,0,0,0
TXN0000027,USR01409,MER0086,375.72,Card,Android,0,0,2,1735.35,0,0.0649,480,19,0,0,0
TXN0000028,USR02880,MER0314,4031.24,UPI,Android,0,1,3,2824.62,0,0.0936,391,11,0,0,0
TXN0000029,USR01910,MER0271,3927.12,Wallet,Android,0,1,1,2171.65,0,0.3321,1917,17,0,0,0
TXN0000030,USR01552,MER0061,7042.87,UPI,Android,1,0,3,2623.3,0,0.3255,1276,15,0,0,0
TXN0000031,USR01577,MER0360,1111.33,Wallet,Android,0,1,1,1977.24,0,0.4873,472,12,0,0,0
TXN0000032,USR00796,MER0030,2153.38,UPI,Android,0,0,1,1923.6,0,0.1817,299,20,0,1,0
TXN0000033,USR00323,MER0496,3628.25,UPI,Web,1,0,2,3191.0,0,0.138,219,15,0,0,0
TXN0000034,USR01942,MER0079,2208.57,Wallet,Android,0,0,1,2183.37,0,0.2654,629,16,0,0,0
TXN0000035,USR03108,MER0223,1522.21,UPI,Android,0,1,2,1473.24,1,0.1321,1630,12,0,0,0
TXN0000036,USR00224,MER0412,7307.62,UPI,Android,1,1,3,7479.6,0,0.2058,1603,8,0,0,0
TXN0000037,USR03005,MER0258,2765.72,Wallet,Android,0,1,1,2496.38,0,0.2242,1086,20,0,0,0
TXN0000038,USR02897,MER0372,2681.31,Card,Android,1,5,4,1653.7,0,0.5473,246,14,1,0,1
TXN0000039,USR00969,MER0352,4427.26,Wallet,Android,0,2,1,1933.19,0,0.2193,536,13,0,0,0
TXN0000040,USR02211,MER0475,562.2,Card,Android,0,0,2,1018.84,0,0.2522,590,16,1,0,0
TXN0000041,USR00579,MER0232,3333.28,UPI,Android,0,0,1,3967.01,1,0.0605,584,20,0,0,0
TXN0000042,USR02654,MER0490,1907.01,Card,Android,0,0,2,2717.77,0,0.2459,617,15,1,0,0
TXN0000043,USR02452,MER0259,3536.48,Wallet,Android,0,0,1,5586.86,0,0.4097,855,7,0,0,0
TXN0000044,USR01241,MER0447,1025.33,UPI,Android,0,0,1,3450.64,0,0.981,365,23,1,1,0
TXN0000045,USR00238,MER0367,2367.47,UPI,Android,0,1,1,2445.83,0,0.1788,566,6,0,0,0
TXN0000046,USR03398,MER0067,3786.22,Card,Web,0,0,2,2818.65,0,0.478,247,11,0,0,0
TXN0000047,USR01560,MER0322,3748.8,Wallet,iOS,0,1,1,4406.62,0,0.3746,962,20,1,0,0
TXN0000048,USR03126,MER0440,1756.5,UPI,iOS,0,2,1,1858.5,0,0.1469,742,6,0,0,0
TXN0000049,USR02373,MER0065,698.53,Card,Android,0,0,2,543.32,0,0.1464,98,12,0,0,0
TXN0000050,USR02725,MER0420,13837.87,UPI,iOS,0,0,3,5266.69,0,0.175,361,22,0,0,0
TXN0000051,USR02660,MER0053,8673.02,UPI,iOS,0,0,1,12335.08,0,0.0834,206,13,1,0,0
TXN0000052,USR00682,MER0436,2015.2,Card,Android,0,1,1,4924.77,1,0.1747,1169,10,0,0,0
TXN0000053,USR01274,MER0395,2154.53,UPI,Web,0,0,3,2417.39,0,0.3731,671,7,0,0,0
TXN0000054,USR01634,MER0076,3852.75,UPI,iOS,0,0,3,1043.54,0,0.0565,503,22,1,0,0
TXN0000055,USR01743,MER0364,1842.63,Card,Android,1,0,2,4468.46,0,0.2491,419,16,0,0,0
TXN0000056,USR00154,MER0059,9751.91,UPI,Android,0,1,2,6419.66,0,0.3617,767,6,0,0,0
TXN0000057,USR01913,MER0285,10112.18,Wallet,Android,0,0,1,4618.38,0,0.1741,577,18,0,0,0
TXN0000058,USR00541,MER0462,299.49,NetBanking,Android,0,0,2,1728.92,0,0.3638,476,17,0,0,0
TXN0000059,USR02602,MER0103,2206.02,Card,Web,0,2,1,1726.04,0,0.4781,1645,18,0,0,0
TXN0000060,USR02391,MER0087,2302.57,Wallet,Android,0,1,3,1567.64,0,0.1805,719,10,0,0,0
TXN0000061,USR03229,MER0212,835.94,NetBanking,Android,1,1,1,1065.33,0,0.2024,256,13,1,0,0
TXN0000062,USR02607,MER0185,2314.45,Card,Android,0,0,2,3875.25,0,0.2034,686,19,1,0,0
TXN0000063,USR01284,MER0025,2418.24,Wallet,iOS,0,0,1,3889.64,0,0.1514,665,15,1,1,0
TXN0000064,USR03387,MER0228,583.49,UPI,Android,0,0,2,777.12,0,0.0396,78,18,1,0,0
TXN0000065,USR01438,MER0130,3443.35,Wallet,Android,0,0,1,4499.44,0,0.8447,628,18,0,0,0
TXN0000066,USR01141,MER0063,1422.99,UPI,iOS,0,1,2,2129.99,0,0.3863,552,16,0,0,1
TXN0000067,USR03170,MER0139,887.05,UPI,iOS,0,0,1,1195.02,0,0.1546,1129,20,0,0,0
TXN0000068,USR01297,MER0011,3734.75,Card,iOS,0,1,1,1665.81,0,0.2626,159,8,1,0,0
TXN0000069,USR00268,MER0458,1064.67,UPI,iOS,0,1,1,2683.31,0,0.5759,179,18,1,0,0
TXN0000070,USR01644,MER0498,659.74,UPI,iOS,0,0,1,2443.47,0,0.9346,205,22,0,0,0
TXN0000071,USR02785,MER0184,1720.67,Card,Web,0,1,2,758.68,1,0.3125,838,12,0,0,1
TXN0000072,USR00664,MER0439,2032.42,UPI,iOS,0,1,2,2453.42,0,0.0102,663,14,1,0,0
TXN0000073,USR01621,MER0231,1008.46,Wallet,Android,1,0,3,1402.08,0,0.2267,138,18,0,0,0
TXN0000074,USR00455,MER0457,1041.2,NetBanking,Web,0,0,1,1185.84,0,0.2225,234,11,0,0,0
TXN0000075,USR02403,MER0087,3528.66,Card,Web,0,0,1,3190.69,0,0.1768,254,20,1,0,0
TXN0000076,USR01665,MER0143,898.73,UPI,Android,0,0,1,1377.88,0,0.174,850,21,0,0,0
TXN0000077,USR01156,MER0370,1427.74,Card,iOS,0,0,1,1042.71,0,0.3979,665,12,0,0,0
TXN0000078,USR00795,MER0111,410.67,UPI,Web,0,0,2,863.18,0,0.5119,443,18,0,0,0
TXN0000079,USR01976,MER0412,5585.83,Card,Android,0,2,1,7297.62,0,0.1535,502,16,1,0,0
TXN0000080,USR02345,MER0213,236.96,UPI,Android,0,0,1,1227.18,0,0.6817,245,9,0,0,0
TXN0000081,USR03292,MER0202,2493.45,UPI,Android,0,0,2,1127.11,1,0.1908,1049,22,0,0,0
TXN0000082,USR01531,MER0227,4073.41,UPI,iOS,0,1,1,4861.09,0,0.0905,532,10,1,0,0
TXN0000083,USR00563,MER0399,4216.44,NetBanking,Web,1,0,1,2736.05,0,0.2904,573,11,1,0,0
TXN0000084,USR02915,MER0003,3903.68,UPI,Android,0,0,2,2911.84,0,0.5505,1174,20,0,0,0
TXN0000085,USR02205,MER0376,7776.41,UPI,iOS,0,1,3,5502.65,0,0.4219,1100,20,0,0,0
TXN0000086,USR02451,MER0390,1053.6,UPI,iOS,0,0,2,1113.84,0,0.1981,479,9,0,0,0
TXN0000087,USR00341,MER0411,2326.71,Card,iOS,0,0,2,1849.53,0,0.0565,413,15,1,0,0
TXN0000088,USR01094,MER0499,722.67,NetBanking,iOS,0,2,1,1517.9,0,0.1713,184,21,1,0,0
TXN0000089,USR02688,MER0392,1226.51,UPI,iOS,0,0,2,2996.42,0,0.2993,876,19,1,0,0
TXN0000090,USR02913,MER0265,2647.96,UPI,Android,0,0,1,2993.92,0,0.329,725,16,0,0,0
TXN0000091,USR01524,MER0234,798.05,UPI,Android,0,0,2,1368.68,0,0.4579,528,9,0,0,0
TXN0000092,USR02817,MER0195,3779.72,Card,Android,0,1,3,1423.78,0,0.2034,676,7,0,0,0
TXN0000093,USR02946,MER0414,9662.89,Card,Android,1,0,1,7753.84,0,0.2066,597,7,0,0,0
TXN0000094,USR01357,MER0197,3099.37,Wallet,iOS,0,0,2,5457.91,0,0.4225,865,13,0,0,0
TXN0000095,USR03144,MER0287,1755.47,Wallet,Web,0,0,2,2243.97,0,0.1006,1093,15,0,0,0
TXN0000096,USR01010,MER0049,2276.87,UPI,Android,0,0,1,2175.02,0,0.9589,401,15,0,0,0
TXN0000097,USR00839,MER0159,2133.0,NetBanking,iOS,1,0,1,2354.88,0,0.0246,226,9,0,0,0
TXN0000098,USR02389,MER0134,3296.75,Wallet,Android,0,0,3,2849.89,0,0.3076,442,14,1,0,0
TXN0000099,USR02229,MER0218,864.77,Card,Android,0,0,2,865.26,0,0.2434,1811,19,0,0,0
TXN0000100,USR00490,MER0252,447.34,UPI,Android,0,2,2,1279.97,0,0.1464,541,12,0,0,0
TXN0000101,USR02915,MER0359,588.68,Card,Android,0,0,4,2911.84,0,0.0424,412,16,1,0,0
TXN0000102,USR00700,MER0216,1559.5,Card,Web,0,0,1,2145.48,0,0.1256,632,13,0,0,0
TXN0000103,USR02818,MER0076,5434.49,UPI,Android,0,1,2,3816.03,0,0.0188,1047,17,0,0,0
TXN0000104,USR00026,MER0273,493.43,UPI,Android,0,0,2,673.37,0,0.1593,322,12,0,0,0
TXN0000105,USR02789,MER0028,3965.54,Card,Android,0,1,1,1711.41,0,0.2941,845,21,0,0,0
TXN0000106,USR02755,MER0425,2532.67,Card,Web,0,0,1,2753.94,0,0.2672,736,6,0,0,0
TXN0000107,USR02732,MER0386,6068.57,UPI,Android,0,2,6,2401.14,0,0.1649,674,7,0,0,0
TXN0000108,USR02327,MER0113,6008.88,NetBanking,Web,0,1,1,2756.24,0,0.8546,691,13,0,0,0
TXN0000109,USR01651,MER0132,1083.16,UPI,Android,0,0,3,534.17,0,0.2633,457,9,0,0,0
TXN0000110,USR02469,MER0014,585.85,UPI,Android,1,0,1,1464.97,0,0.2142,941,6,1,0,0
TXN0000111,USR00970,MER0183,3865.05,UPI,Android,0,0,1,4013.37,0,0.203,107,23,1,0,0
TXN0000112,USR02733,MER0020,23686.77,Card,iOS,0,0,3,1445.48,0,0.4996,386,18,0,0,0
TXN0000113,USR01945,MER0469,2705.64,UPI,Web,0,0,1,2337.9,0,0.1671,461,11,0,0,0
TXN0000114,USR01607,MER0068,922.7,Card,Android,0,1,2,650.78,0,0.5991,781,21,0,0,0
TXN0000115,USR01770,MER0330,952.84,UPI,Android,0,0,2,2720.91,0,0.9571,596,3,0,0,0
TXN0000116,USR01991,MER0286,16122.31,UPI,Android,1,1,1,4257.47,0,0.2394,346,9,0,0,0
TXN0000117,USR00131,MER0119,733.03,UPI,Web,0,0,2,1362.37,0,0.4363,1586,20,0,0,0
TXN0000118,USR00490,MER0405,289.63,UPI,iOS,0,0,2,1279.97,0,0.2864,477,19,0,0,0
TXN0000119,USR00860,MER0055,2324.94,UPI,Android,0,0,8,3147.17,0,0.882,1649,7,0,0,0
TXN0000120,USR00401,MER0444,433.21,UPI,Android,0,0,1,2652.91,0,0.1259,195,17,0,0,0
TXN0000121,USR01539,MER0371,536.92,Card,Android,0,0,2,1232.92,0,0.1637,397,1,0,0,0
TXN0000122,USR02340,MER0318,12315.42,Card,Web,0,0,3,2051.81,0,0.2533,586,7,0,0,0
TXN0000123,USR02291,MER0440,1211.09,NetBanking,Android,0,0,3,1673.89,0,0.1787,676,13,0,0,0
TXN0000124,USR01649,MER0202,797.06,Card,Android,1,0,2,2342.4,1,0.1907,238,8,0,0,0
TXN0000125,USR02993,MER0141,1482.25,UPI,iOS,0,1,2,1530.12,0,0.6499,785,8,0,0,0
TXN0000126,USR01979,MER0078,1057.12,Card,Android,0,2,1,2121.17,0,0.3779,1096,13,0,0,0
TXN0000127,USR00278,MER0463,3586.3,UPI,iOS,1,1,2,2023.17,0,0.4568,167,7,0,0,0
TXN0000128,USR02678,MER0201,603.67,Card,Android,0,0,2,1204.11,0,0.2478,517,8,0,0,0
TXN0000129,USR02012,MER0415,2688.03,UPI,iOS,0,0,3,2325.37,1,0.1396,1607,17,1,0,0
TXN0000130,USR02222,MER0167,1179.04,NetBanking,Android,0,3,2,2830.86,0,0.3756,726,14,1,0,0
TXN0000131,USR01979,MER0478,13108.59,Card,Android,0,0,1,2121.17,0,0.3578,3650,12,1,0,0
TXN0000132,USR01938,MER0436,1529.85,Wallet,Web,0,0,3,1119.14,0,0.1301,598,18,0,0,0
TXN0000133,USR00317,MER0155,5294.86,Card,Web,0,1,1,6181.13,0,0.9513,515,8,1,0,0
TXN0000134,USR01958,MER0244,1214.42,UPI,Android,0,0,2,1576.48,0,0.247,217,12,1,0,0
TXN0000135,USR02783,MER0397,617.88,UPI,iOS,0,2,4,967.66,0,0.0908,1181,14,1,0,0
TXN0000136,USR01064,MER0114,6078.91,UPI,Android,0,0,1,11052.79,0,0.2516,24,8,0,0,0
TXN0000137,USR02110,MER0012,635.07,Wallet,Android,0,7,3,1177.78,0,0.3291,170,8,0,0,0
TXN0000138,USR00108,MER0145,15817.28,Wallet,Android,0,0,2,4966.45,0,0.1601,1160,16,0,0,0
TXN0000139,USR01217,MER0296,1267.55,UPI,Android,1,0,9,1983.71,0,0.4299,1425,18,0,0,0
TXN0000140,USR01529,MER0069,334.33,Card,Android,0,0,1,1628.35,0,0.9341,1116,14,0,0,0
TXN0000141,USR03440,MER0167,9994.88,UPI,iOS,0,0,1,2561.79,0,0.3652,386,11,0,0,0
TXN0000142,USR00752,MER0460,3014.56,UPI,Web,0,0,1,1624.97,1,0.102,451,8,0,0,0
TXN0000143,USR00968,MER0038,2815.56,Wallet,Android,0,0,2,3549.59,0,0.0503,1382,17,1,0,0
TXN0000144,USR01430,MER0026,1275.5,UPI,iOS,0,1,1,1476.79,0,0.3053,1438,6,1,0,0
TXN0000145,USR03475,MER0212,13441.42,UPI,Android,0,2,1,6086.51,1,0.1645,547,20,0,0,1
TXN0000146,USR02987,MER0007,430.55,Card,Android,0,0,2,792.06,0,0.2493,43,18,1,0,0
TXN0000147,USR00122,MER0014,3652.35,UPI,Android,0,0,3,2435.2,0,0.1722,496,15,0,0,0
TXN0000148,USR00819,MER0092,1455.55,UPI,Android,0,0,1,2475.05,0,0.1003,292,10,1,0,0
TXN0000149,USR02876,MER0052,3654.99,UPI,Web,0,1,1,2538.22,0,0.5369,1026,9,0,0,0
TXN0000150,USR00205,MER0406,1871.58,Card,Android,0,0,2,2607.53,0,0.2946,170,12,0,0,0
TXN0000151,USR02995,MER0062,563.88,NetBanking,Web,0,1,3,705.39,0,0.1441,107,14,0,0,0
TXN0000152,USR00985,MER0262,4425.25,Wallet,Android,0,0,1,2577.53,0,0.4556,323,16,0,0,0
TXN0000153,USR03212,MER0353,11425.34,Card,Android,0,0,2,7009.43,1,0.5931,99,12,0,0,0
TXN0000154,USR01028,MER0313,1717.74,Wallet,Android,0,0,3,2034.23,0,0.2826,1534,15,1,0,0
TXN0000155,USR01521,MER0327,598.83,Card,iOS,0,3,1,884.08,0,0.0671,568,21,1,0,0
TXN0000156,USR02317,MER0179,2115.61,Card,Android,0,2,1,703.25,0,0.0728,1074,6,0,0,0
TXN0000157,USR00442,MER0445,1375.47,UPI,Android,0,0,1,945.99,0,0.5078,712,22,0,0,0
TXN0000158,USR01950,MER0035,4545.13,UPI,Android,0,2,1,6332.39,0,0.3466,561,12,0,0,0
TXN0000159,USR01768,MER0054,727.94,UPI,iOS,0,0,1,1224.69,1,0.2158,980,10,0,0,1
TXN0000160,USR02744,MER0429,1527.61,NetBanking,Android,0,1,2,767.8,0,0.359,1275,12,0,0,0
TXN0000161,USR03487,MER0035,1555.18,Card,Web,0,1,2,1504.57,0,0.3078,1173,23,0,0,0
TXN0000162,USR02326,MER0096,1313.19,NetBanking,Android,0,0,2,1553.05,0,0.0719,1304,22,0,0,0
TXN0000163,USR01433,MER0087,6351.71,UPI,Android,0,0,1,6146.87,0,0.1822,155,20,0,0,0
TXN0000164,USR01423,MER0017,8547.93,UPI,Web,0,0,2,7046.1,1,0.2077,1982,0,0,0,0
TXN0000165,USR01463,MER0059,1408.34,NetBanking,Android,0,0,3,1542.23,0,0.3624,337,14,0,0,0
TXN0000166,USR02850,MER0287,2785.77,UPI,Android,0,1,2,1231.05,0,0.0894,576,13,0,0,0
TXN0000167,USR01125,MER0331,1812.01,Card,iOS,0,1,2,769.29,1,0.1289,438,14,1,0,1
TXN0000168,USR00585,MER0042,8714.02,UPI,Android,1,0,1,6246.2,0,0.2846,540,21,1,0,0
TXN0000169,USR01171,MER0472,19542.54,Wallet,Android,0,2,2,7635.41,0,0.0184,1265,18,0,0,0
TXN0000170,USR00080,MER0048,1726.17,UPI,Android,0,0,1,1803.6,0,0.2235,1477,8,0,0,0
TXN0000171,USR00372,MER0344,3942.11,NetBanking,iOS,0,2,2,2521.06,0,0.1225,1739,8,0,0,0
TXN0000172,USR00316,MER0401,1113.33,UPI,iOS,0,6,2,567.87,0,0.2035,1018,9,0,0,0
TXN0000173,USR02701,MER0261,2325.99,UPI,iOS,0,1,2,1174.03,0,0.1995,547,9,0,0,0
TXN0000174,USR02529,MER0246,5342.36,Wallet,Web,1,1,2,2904.17,0,0.4095,239,7,0,0,0
TXN0000175,USR02439,MER0055,3074.18,UPI,iOS,0,0,1,2051.52,0,0.9018,575,3,1,1,0
TXN0000176,USR01617,MER0121,2265.45,UPI,Android,0,0,1,581.96,1,0.3176,752,16,0,0,0
TXN0000177,USR02510,MER0426,2870.76,Card,iOS,1,0,2,4451.13,0,0.9415,679,12,1,0,0
TXN0000178,USR00565,MER0175,5763.4,UPI,Web,0,0,2,6775.32,0,0.2985,307,1,0,0,0
TXN0000179,USR03153,MER0018,3073.72,UPI,Android,0,0,1,3770.98,0,0.0817,1024,15,0,0,0
TXN0000180,USR01754,MER0365,1371.34,UPI,iOS,0,0,2,1879.11,0,0.1321,763,20,0,0,0
TXN0000181,USR03284,MER0342,813.82,Card,Android,0,1,3,3581.93,0,0.1807,906,11,1,0,0
TXN0000182,USR00534,MER0034,9611.99,UPI,Android,0,0,2,3755.08,0,0.1207,1079,20,0,0,0
TXN0000183,USR01741,MER0026,514.47,Wallet,iOS,0,0,2,1132.17,0,0.3206,304,12,0,0,0
TXN0000184,USR02438,MER0059,2053.53,Wallet,Android,0,0,3,1910.36,0,0.377,283,17,0,0,0
TXN0000185,USR01735,MER0026,692.75,UPI,Android,0,3,2,2027.19,0,0.2637,241,10,0,0,1
TXN0000186,USR01562,MER0309,22778.14,Card,Android,0,0,2,1544.92,0,0.2093,1016,13,0,0,1
TXN0000187,USR00582,MER0067,1296.31,Card,iOS,0,1,1,2398.9,0,0.5219,1482,9,0,0,0
TXN0000188,USR01334,MER0304,452.76,Card,iOS,0,0,2,1078.41,0,0.8898,1075,10,0,1,0
TXN0000189,USR00836,MER0089,4103.16,UPI,Web,0,0,1,3750.27,0,0.7197,874,11,0,0,0
TXN0000190,USR01056,MER0487,3663.36,Card,iOS,0,1,3,1584.13,0,0.3185,378,18,0,0,0
TXN0000191,USR02393,MER0363,2033.09,UPI,Web,1,1,4,3231.52,0,0.1176,420,20,0,0,1
TXN0000192,USR02206,MER0188,2277.43,Card,Android,0,1,2,2115.65,0,0.0587,231,7,0,0,0
TXN0000193,USR02126,MER0215,1927.49,UPI,Android,0,0,2,1139.09,0,0.3235,536,5,1,1,1
TXN0000194,USR01267,MER0033,470.8,NetBanking,iOS,0,1,2,892.2,0,0.2919,1362,21,1,0,0
TXN0000195,USR03359,MER0028,2764.27,UPI,iOS,0,0,3,5932.44,0,0.3167,1045,17,0,0,0
TXN0000196,USR00307,MER0269,3723.34,Card,Web,0,0,2,3848.61,0,0.4004,187,13,1,0,0
TXN0000197,USR01200,MER0012,2760.99,Card,iOS,0,0,2,1968.61,0,0.35,298,7,1,0,0
TXN0000198,USR00414,MER0320,6870.81,UPI,Android,0,0,2,2519.6,0,0.3328,377,21,0,0,0
TXN0000199,USR01187,MER0192,1056.75,UPI,iOS,0,0,2,2402.6,1,0.5374,716,8,1,0,0
TXN0000200,USR03367,MER0070,2143.47,UPI,Android,0,1,1,2833.08,0,0.0454,1488,16,1,0,0
TXN0000201,USR01282,MER0268,8166.92,Card,Android,1,0,1,3682.26,0,0.1751,1490,8,0,0,0
TXN0000202,USR03181,MER0277,8749.7,Card,iOS,0,0,3,2221.96,0,0.3598,553,21,0,0,1
TXN0000203,USR01733,MER0374,629.11,UPI,iOS,0,1,1,1351.98,0,0.4802,364,11,0,0,0
TXN0000204,USR02449,MER0099,987.89,Card,Android,0,0,3,1767.84,0,0.33,488,18,0,0,0
TXN0000205,USR01601,MER0274,2217.53,UPI,iOS,0,0,1,1771.81,1,0.0422,2140,13,1,1,0
TXN0000206,USR00931,MER0423,1498.04,Card,Web,0,1,1,2387.23,1,0.394,1432,5,0,0,1
TXN0000207,USR02675,MER0135,1697.71,UPI,Android,0,0,2,3083.07,0,0.1787,529,16,1,0,0
TXN0000208,USR03393,MER0418,5634.52,Wallet,Android,0,0,1,4967.38,0,0.4458,1416,13,1,1,0
TXN0000209,USR00923,MER0362,3176.15,Card,Android,0,0,2,1094.27,0,0.0924,379,10,1,0,0
TXN0000210,USR02726,MER0215,1127.96,UPI,Android,1,0,1,3044.2,0,0.2479,564,16,0,0,0
TXN0000211,USR00914,MER0442,3457.4,Card,Android,0,0,2,1235.8,0,0.3425,768,16,1,0,0
TXN0000212,USR02510,MER0484,2799.18,Wallet,Android,1,1,1,4451.13,1,0.3046,838,14,1,0,0
TXN0000213,USR02762,MER0119,6438.33,UPI,Android,0,0,2,5276.69,0,0.4279,483,13,0,0,0
TXN0000214,USR01573,MER0490,2949.23,UPI,Android,0,0,1,986.23,0,0.3185,164,7,0,0,0
TXN0000215,USR02580,MER0002,2424.67,UPI,Android,0,0,4,2016.7,0,0.3428,1162,14,1,0,0
TXN0000216,USR00953,MER0065,9166.42,UPI,Web,0,2,1,11938.17,0,0.1112,468,14,0,0,0
TXN0000217,USR00278,MER0022,3227.65,Card,Android,0,2,1,2023.17,0,0.2411,698,13,1,0,0
TXN0000218,USR00338,MER0184,3386.02,Card,Android,1,0,1,4032.29,0,0.3235,589,21,0,0,1
TXN0000219,USR01565,MER0469,4066.12,UPI,Android,0,0,1,2936.79,0,0.1838,1036,22,0,0,0
TXN0000220,USR03160,MER0301,2901.84,UPI,Web,1,1,2,3535.0,0,0.4287,1804,17,1,0,0
TXN0000221,USR00447,MER0309,2599.4,Card,Android,0,0,3,1469.98,0,0.2001,214,8,0,1,0
TXN0000222,USR01596,MER0043,859.89,Card,Web,0,0,1,2466.74,0,0.4561,486,23,0,0,0
TXN0000223,USR02465,MER0259,1260.86,Wallet,Android,0,3,2,2749.8,1,0.4255,651,20,0,1,1
TXN0000224,USR00709,MER0192,941.51,Card,Android,0,2,1,2729.62,0,0.5944,502,19,0,0,0
TXN0000225,USR02526,MER0240,1793.19,UPI,Android,0,0,1,1963.3,0,0.5254,643,22,0,0,0
TXN0000226,USR01071,MER0131,488.97,Card,iOS,0,0,3,1546.23,0,0.1339,257,16,1,0,0
TXN0000227,USR02831,MER0101,4517.63,Card,Web,0,1,8,7815.48,0,0.4788,858,5,1,0,0
TXN0000228,USR02028,MER0477,2111.74,Card,Android,0,0,3,4927.94,1,0.0381,2160,11,0,0,0
TXN0000229,USR01915,MER0280,3338.43,UPI,Web,0,0,1,1209.41,0,0.4251,407,11,0,1,0
TXN0000230,USR00619,MER0206,909.84,Wallet,Android,0,1,1,1951.91,0,0.1613,794,7,1,0,0
TXN0000231,USR01622,MER0037,603.01,UPI,Android,0,0,1,1600.78,0,0.1267,1349,17,0,0,0
TXN0000232,USR02999,MER0382,505.83,UPI,Web,0,1,3,444.7,0,0.2519,802,13,0,0,0
TXN0000233,USR00069,MER0237,18241.26,UPI,Android,0,0,2,5692.64,0,0.0753,1732,20,1,0,0
TXN0000234,USR02655,MER0194,1126.64,Wallet,iOS,0,1,1,1287.64,0,0.5798,726,15,0,0,0
TXN0000235,USR01725,MER0334,4292.02,Card,Android,0,4,3,4639.64,0,0.4454,381,12,1,0,0
TXN0000236,USR02519,MER0066,4280.05,UPI,Android,0,4,1,1776.45,0,0.1071,389,18,0,0,0
TXN0000237,USR02322,MER0267,2855.38,UPI,Android,0,1,2,1595.01,1,0.3037,774,16,0,0,0
TXN0000238,USR01513,MER0432,3652.12,UPI,Web,0,1,1,2826.42,1,0.0503,689,14,0,0,0
TXN0000239,USR01081,MER0232,9840.39,Card,Web,0,0,1,15733.32,0,0.1068,1743,7,0,0,0
TXN0000240,USR02196,MER0001,1576.97,Card,Web,0,0,9,1193.89,0,0.2177,554,14,0,0,0
TXN0000241,USR00491,MER0115,428.48,Card,iOS,1,0,1,1199.93,0,0.353,339,13,0,0,1
